Kode;Date;RoA;Market Cap;RoE;Total Aset;Laba Bersih;Total Ekuitas;Sub Sektor
NICE.JK;09/01/24;15.26;5.32783E+11;34.06;2.65717E+11;40546970835;1.19046E+11;Basic Materials
MSJA.JK;10/01/24;3.98;2.64706E+11;5.69;1.37397E+12;54713805000;9.61578E+11;Nondurable Household Products
SMLE.JK;10/01/24;2.58;81484375000;9.82;86055664583;2220346422;22610452363;Basic Materials
ACRO.JK;11/01/24;4;74933424000;7.47;1.03973E+11;4158520192;55669614351;Apparel & Luxury Goods
MANG.JK;11/01/24;0.35;76250000000;0.57;1.14977E+11;402720082;70652645965;Heavy Constructions & Civil
GRPH.JK;18/01/24;3.95;20600000000;-192.62;34505860921;1361504405;-706834392;Consumer Services
SMGA.JK;30/01/24;3.016;1.8375E+11;3.89;2.12285E+11;6403420030;1.64612E+11;Basic Materials
ALII.JK;07/02/24;10.781;8.60924E+11;43.67;1.40465E+12;1.51434E+11;3.46768E+11;Oil, Gas, & Coal
MPIX.JK;07/02/24;50.5;83750000000;80.04;28381432916;14340349029;17916478047;Software & IT Service
TOSK.JK;07/02/24;4.17;1.09375E+11;1.81;87673817000;1585481000;39038012000;Software & IT Service
UNTD.JK;07/02/24;5.5;4.00001E+11;21.4;8.32597E+11;46003958181;2.15128E+11;Leisure Goods
MEJA.JK;12/02/24;5.64;49440000000;8.96;50287076489;2837036532;31660819040;Household Goods
MKAP.JK;12/02/24;6.61;74750000000;11.5;2.59699E+11;17158994618;1.49151E+11;Oil, Gas, & Coal
LIVE.JK;12/02/24;6.69;1.19636E+11;11.52;2.936E+11;19646585653;1.70493E+11;Household Goods
HYGN.JK;13/02/24;6.29;76125000000;11.28;1.39829E+11;8794484224;77947031627;Industrial Services
BAIK.JK;15/02/24;11.46;62550000000;14.19;77719719033;8905663404;62746675051;Consumer Services
VISI.JK;27/02/24;8.87;73800000000;19.16;2.29949E+11;20389240403;1.0644E+11;Industrial Services
AREA.JK;01/04/24;0.84;66810000000;1.15;2.21081E+11;1846798291;1.60967E+11;Software & IT Service
ATLA.JK;16/04/24;3.54;1.2E+11;3.85;52875310795;1875993020;48698174981;Oil, Gas, & Coal
MHKI.JK;16/04/24;7.12;1.2E+11;7.69;3.26798E+11;23252529682;3.02457E+11;Industrial Services
DATA.JK;07/05/24;21.65;51700000000;31.04;1.35746E+11;29392868254;94708044954;Telecommunication
SOLA.JK;08/05/24;2.22;72187500000;2.71;87330000000;1940000000;71680000000;Basic Materials
BATR.JK;10/06/24;13.07;68200000000;8.27;1.1273E+11;9321047873;71296949926;Basic Materials
SPRE.JK;03/07/24;11.83;30000000000;16.58;24832103243;2936432560;17712414377;Apparel & Luxury Goods
PART.JK;05/07/24;7.22;71400000000;6.71;2.21377E+11;15988609120;63538319233;Automobiles & Components
ISEA.JK;08/07/24;0.51;72500000000;1.6;3.45325E+11;1737175989;1.09294E+11;Nondurable Household Products
BLES.JK;08/07/24;9.87;2.40429E+11;20.06;1.52874E+12;1.50952E+11;7.52361E+11;Basic Materials
GOLF.JK;08/07/24;0.79;3.9E+11;0.78;7.76454E+12;60176514048;7.58174E+12;Consumer Services
GUNA.JK;09/07/24;12.52;75000000000;17.3;7.57089E+11;94810274134;5.49604E+11;Food & Beverage
LABS.JK;10/07/24;1.37;71400000000;4.44;1.60287E+11;2189514903;67523196780;Healthcare Equipment & Providers
DOSS.JK;07/08/24;14.54;60750000000;26.21;1.63227E+11;23738323265;90564682194;Leisure Goods
NEST.JK;08/08/24;8.14;1.645E+11;15.71;3.17065E+11;25823446366;1.88985E+11;Food & Beverage
PTMR.JK;08/10/24;2.45;55680000000;5.53;93374827334;2291869698;41464857252;Basic Materials
VERN.JK;08/10/24;2.51;2.18722E+11;2.78;3.46233E+11;8692560683;3.12228E+11;Media & Entertainment
DAAZ.JK;11/11/24;11.71;2.64E+11;30.01;3.04309E+12;3.55939E+11;1.18785E+12;Basic Materials
BOAT.JK;12/11/24;0.19;1.00048E+11;0.38;5.56321E+11;1049312000;2.75915E+11;Oil, Gas, & Coal
NAIK.JK;13/11/24;4.33;80250000000;9.72;1.79093E+11;7747930601;79670954960;Industrial Services
